Tick 36676(36662), Delay 55 ms, IGT 30:32.990, RTA 43:50.984-43:51.039
Tick 36887(36873), Delay 2192 ms, IGT 30:43.540, RTA 44:01.539-44:03.731
Tick 37067(37053), Delay 3124 ms, IGT 30:52.540, RTA 44:12.682-44:15.806
Tick 37202(37188), Delay 2326 ms, IGT 30:59.290, RTA 44:22.505-44:24.831
Tick 37341(37327), Delay 2976 ms, IGT 31:06.240, RTA 44:31.734-44:34.710
Tick 37409(37395), Delay 6101 ms, IGT 31:09.640, RTA 44:38.060-44:44.161
Tick 37412(37397), Delay 289 ms, IGT 31:09.740, RTA 44:44.260-44:44.549
Tick 37413(37397), Delay 23239 ms, IGT 31:09.740, RTA 44:44.549-45:07.788
Tick 37414(37398), Delay 57 ms, IGT 31:09.751, RTA 45:07.788-45:07.845
Tick 37415(37399), Delay 36 ms, IGT 31:09.801, RTA 45:07.845-45:07.881
Tick 37468(37452), Delay 2193 ms, IGT 31:12.451, RTA 45:10.483-45:12.676
Tick 37510(37494), Delay 1572 ms, IGT 31:14.551, RTA 45:14.727-45:16.299
Tick 37566(37550), Delay 55 ms, IGT 31:17.351, RTA 45:19.050-45:19.105
Tick 37567(37551), Delay 718 ms, IGT 31:17.401, RTA 45:19.105-45:19.823
Tick 37592(37576), Delay 532 ms, IGT 31:18.651, RTA 45:21.024-45:21.556
Tick 37611(37595), Delay 4288 ms, IGT 31:19.601, RTA 45:22.458-45:26.746
Tick 37630(37614), Delay 19562 ms, IGT 31:20.551, RTA 45:27.649-45:47.211
Tick 37643(37627), Delay 440 ms, IGT 31:21.201, RTA 45:47.814-45:48.254
Tick 37650(37634), Delay 9671 ms, IGT 31:21.551, RTA 45:48.553-45:58.224
Tick 37665(37649), Delay 10329 ms, IGT 31:22.301, RTA 45:58.927-46:09.256
Tick 37672(37656), Delay 443 ms, IGT 31:22.651, RTA 46:09.557-46:10.000
Tick 37777(37761), Delay 55 ms, IGT 31:27.901, RTA 46:15.196-46:15.251
Tick 37873(37857), Delay 45 ms, IGT 31:32.701, RTA 46:20.001-46:20.046
Tick 37875(37859), Delay 55 ms, IGT 31:32.801, RTA 46:20.096-46:20.151
Tick 38036(38020), Delay 10894 ms, IGT 31:40.851, RTA 46:28.148-46:39.042
Tick 38310(38294), Delay 4285 ms, IGT 31:54.551, RTA 46:52.694-46:56.979
Tick 38375(38359), Delay 56 ms, IGT 31:57.801, RTA 47:00.180-47:00.236
Tick 38376(38360), Delay 42 ms, IGT 31:57.851, RTA 47:00.236-47:00.278
Tick 38575(38559), Delay 55 ms, IGT 32:07.801, RTA 47:10.176-47:10.231
Tick 38637(38621), Delay 413 ms, IGT 32:10.901, RTA 47:13.279-47:13.692
Tick 38652(38636), Delay 9098 ms, IGT 32:11.651, RTA 47:14.393-47:23.491
Tick 38780(38764), Delay 714 ms, IGT 32:18.051, RTA 47:29.841-47:30.555
Tick 38791(38775), Delay 55 ms, IGT 32:18.601, RTA 47:31.053-47:31.108
Tick 38792(38776), Delay 808 ms, IGT 32:18.651, RTA 47:31.108-47:31.916
Tick 38795(38779), Delay 5432 ms, IGT 32:18.801, RTA 47:32.017-47:37.449
Tick 38799(38782), Delay 521 ms, IGT 32:18.951, RTA 47:37.599-47:38.120
Tick 38800(38782), Delay 24717 ms, IGT 32:18.951, RTA 47:38.120-48:02.837
Tick 38802(38783), Delay 19 ms, IGT 32:18.988, RTA 48:02.891-48:02.910
Tick 38824(38805), Delay 373 ms, IGT 32:20.088, RTA 48:03.960-48:04.333
Tick 38839(38820), Delay 10348 ms, IGT 32:20.838, RTA 48:05.033-48:15.381
Tick 39064(39045), Delay 7126 ms, IGT 32:32.088, RTA 48:26.583-48:33.709
Tick 39220(39201), Delay 3574 ms, IGT 32:39.888, RTA 48:41.461-48:45.035
Tick 39242(39223), Delay 1896 ms, IGT 32:40.988, RTA 48:46.086-48:47.982
Tick 39447(39428), Delay 7992 ms, IGT 32:51.238, RTA 48:58.186-49:06.178
Tick 39472(39453), Delay 3678 ms, IGT 32:52.488, RTA 49:07.376-49:11.054
Tick 39696(39677), Delay 1044 ms, IGT 33:03.688, RTA 49:22.206-49:23.250
Tick 39952(39933), Delay 670 ms, IGT 33:16.488, RTA 49:35.998-49:36.668
Tick 39983(39964), Delay 4828 ms, IGT 33:18.038, RTA 49:38.171-49:42.999
Tick 40027(40008), Delay 3584 ms, IGT 33:20.238, RTA 49:45.151-49:48.735
Tick 40392(40373), Delay 7171 ms, IGT 33:38.488, RTA 50:06.935-50:14.106
Tick 40412(40393), Delay 427 ms, IGT 33:39.488, RTA 50:15.053-50:15.480
Tick 40424(40405), Delay 18408 ms, IGT 33:40.088, RTA 50:16.031-50:34.439
Tick 40690(40671), Delay 6791 ms, IGT 33:53.388, RTA 50:47.690-50:54.481
Tick 40921(40902), Delay 6070 ms, IGT 34:04.938, RTA 51:05.984-51:12.054
Tick 40952(40933), Delay 1271 ms, IGT 34:06.488, RTA 51:13.556-51:14.827
Tick 41006(40987), Delay 55 ms, IGT 34:09.188, RTA 51:17.472-51:17.527
Tick 41079(41060), Delay 836 ms, IGT 34:12.838, RTA 51:21.124-51:21.960
Tick 41204(41185), Delay 472 ms, IGT 34:19.088, RTA 51:28.164-51:28.636
Tick 41291(41272), Delay 3666 ms, IGT 34:23.438, RTA 51:32.937-51:36.603
Tick 41308(41289), Delay 4974 ms, IGT 34:24.288, RTA 51:37.404-51:42.378
Tick 41340(41321), Delay 782 ms, IGT 34:25.888, RTA 51:43.930-51:44.712
Tick 41382(41363), Delay 363 ms, IGT 34:27.988, RTA 51:46.765-51:47.128
Tick 41397(41378), Delay 940 ms, IGT 34:28.738, RTA 51:47.831-51:48.771
Tick 41444(41425), Delay 6327 ms, IGT 34:31.088, RTA 51:51.073-51:57.400
Tick 41452(41433), Delay 1537 ms, IGT 34:31.488, RTA 51:57.753-51:59.290
Tick 41472(41453), Delay 45 ms, IGT 34:32.488, RTA 52:00.242-52:00.287
Tick 41586(41567), Delay 57 ms, IGT 34:38.188, RTA 52:05.937-52:05.994
Tick 41587(41568), Delay 42 ms, IGT 34:38.238, RTA 52:05.994-52:06.036
Tick 41947(41928), Delay 7547 ms, IGT 34:56.238, RTA 52:23.988-52:31.535
Tick 41960(41941), Delay 25098 ms, IGT 34:56.888, RTA 52:32.135-52:57.233
Tick 42168(42149), Delay 55 ms, IGT 35:07.288, RTA 53:07.580-53:07.635
Tick 43602(43583), Delay 55 ms, IGT 36:18.988, RTA 54:19.280-54:19.335
Tick 44085(44066), Delay 55 ms, IGT 36:43.138, RTA 54:43.430-54:43.485
