No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
7    1:29:08.342    2:22:19.871    2:23:07.143    47.272     47.272     Paused by player, Unpause by player
8    1:29:11.042    2:23:09.845    2:23:11.917    2.072      2.072      Paused by player, Unpause by player
9    1:29:29.942    2:23:30.799    2:24:13.824    43.025     43.025     Paused by player, Unpause by player
10   1:29:30.142    2:24:13.977    2:24:16.172    2.195      2.195      Paused by player, Unpause by player
11   1:29:32.742    2:24:18.727    2:24:19.085    0.358      0.358      Paused by player, Unpause by player
12   1:29:33.342    2:24:19.635    2:24:31.201    11.566     11.566     Paused by player, Unpause by player
13   1:29:34.792    2:24:32.640    2:24:33.639    0.999      0.999      Paused by player, Unpause by player
14   1:29:37.442    2:24:36.274    2:24:36.831    0.557      0.557      Paused by player, Unpause by player
15   1:29:44.092    2:24:43.464    2:24:44.215    0.751      0.751      Paused by player, Unpause by player
16   1:30:04.742    2:25:04.845    2:25:11.175    6.330      6.330      Paused by player, Unpause by player
17   1:30:05.792    2:25:12.176    2:26:02.752    50.576     50.576     Paused by player, Unpause by player
18   1:30:11.592    2:26:08.528    2:26:09.464    0.936      0.936      Paused by player, Unpause by player
19   1:30:12.842    2:26:10.706    2:26:11.653    0.947      0.947      Paused by player, Unpause by player
20   1:30:14.492    2:26:13.322    2:26:14.640    1.318      1.318      Paused by player, Unpause by player
21   1:30:14.842    2:26:14.965    2:26:36.277    21.312     21.312     Paused by player, Unpause by player
22   1:30:32.892    2:26:54.291    2:28:07.524    73.233     73.233     Paused by player, Unpause by player
23   1:30:44.942    2:28:19.555    2:28:20.054    0.499      0.499      Paused by player, Unpause by player
24   1:30:46.342    2:28:21.436    2:28:21.874    0.438      0.438      Paused by player, Unpause by player
25   1:30:53.042    2:28:28.563    2:28:36.279    7.716      7.716      Paused by player, Unpause by player
26   1:31:10.692    2:28:53.905    2:29:11.426    17.521     17.521     Paused by player, Unpause by player
27   1:31:16.592    2:29:17.281    2:29:46.328    29.047     29.047     Paused by player, Unpause by player
28   1:31:28.192    2:29:57.889    2:29:58.484    0.595      0.595      Paused by player, Unpause by player
29   1:31:29.242    2:29:59.498    2:30:00.443    0.945      0.945      Paused by player, Unpause by player
30   1:31:44.142    2:30:15.311    2:30:20.890    5.579      5.579      Paused by player, Unpause by player
31   1:31:49.142    2:30:25.880    2:30:53.247    27.367     27.367     Paused by player, Unpause by player
32   1:31:57.942    2:31:02.020    2:31:02.462    0.442      0.442      Paused by player, Unpause by player
33   1:32:08.142    2:31:12.644    2:31:13.073    0.429      0.429      Paused by player, Unpause by player
34   1:32:16.592    2:31:21.474    2:31:28.022    6.548      6.548      Paused by player, Unpause by player
35   1:32:24.942    2:31:36.329    2:31:39.345    3.016      3.016      Paused by player, Unpause by player
36   1:32:34.792    2:31:49.183    2:31:53.556    4.373      4.373      Paused by player, Unpause by player
37   1:32:40.442    2:31:59.172    2:32:03.633    4.461      4.461      Paused by player, Unpause by player
38   1:32:43.242    2:32:06.393    2:32:09.164    2.771      2.771      Paused by player, Unpause by player
